0,1,2,3,4,5,6,7,9,10,8,3_pct,4_pct,5_pct
เขื่อนสิริกิติ์,อุตรดิตถ์,9510.0,6660.0,7826.08,4976.08,79.73,31.93,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.82,0.52
เขื่อนศรีนครินทร์,กาญจนบุรี,17745.0,7480.0,13784.18,3519.18,25.6,9.96,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.78,0.2
เขื่อนวชิราลงกรณ,กาญจนบุรี,8860.0,5848.0,6671.42,3659.42,38.88,15.07,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.75,0.41
เขื่อนน้ำอูน,สกลนคร,520.0,475.0,390.06,345.06,7.42,3.24,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.75,0.66
เขื่อนบางพระ,ชลบุรี,117.0,104.94,87.3,75.24,0.16,0.33,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.75,0.64
เขื่อนรัชชประภา,สุราษฎร์ธานี,5638.84,4287.0,3940.98,2589.44,6.85,3.56,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.7,0.46
เขื่อนภูมิพล,ตาก,13462.0,9662.0,9230.21,5430.21,62.99,12.0,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.69,0.4
เขื่อนแม่งัดสมบูรณ์ชล,เชียงใหม่,265.0,253.0,179.54,167.35,4.25,3.62,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.68,0.63
เขื่อนประแสร์,ระยอง,295.0,275.0,198.06,178.06,2.16,0.04,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.67,0.6
เขื่อนแม่กวงอุดมธารา,เชียงใหม่,263.0,249.0,171.09,157.09,6.23,0.31,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.65,0.6
เขื่อนขุนด่านปราการชล,นครนายก,224.0,219.48,138.35,133.83,3.89,2.31,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.62,0.6
เขื่อนลำแชะ,นครราชสีมา,275.0,268.0,163.66,156.66,0.78,1.24,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.6,0.57
เขื่อนหนองปลาไหล,ระยอง,164.0,150.25,95.32,81.82,0.84,0.59,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.58,0.5
เขื่อนนฤบดินทรจินดา,ปราจีนบุรี,295.0,275.5,163.17,148.92,2.17,0.8,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.55,0.5
เขื่อนแก่งกระจาน,เพชรบุรี,710.0,645.0,391.53,326.53,2.73,2.59,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.55,0.46
เขื่อนสิรินธร,อุบลราชธานี,1966.47,1135.0,1082.3,250.92,0.61,2.04,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.55,0.13
เขื่อนแม่มอก,ลำปาง,110.0,94.1,56.58,40.68,1.15,0.19,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.51,0.37
เขื่อนกิ่วคอหมา,ลำปาง,170.0,163.8,87.1,80.9,5.14,3.38,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.51,0.48
เขื่อนจุฬาภรณ์,ชัยภูมิ,163.75,127.0,83.58,46.36,1.46,0.0,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.51,0.28
เขื่อนกิ่วลม,ลำปาง,106.22,102.67,52.73,49.18,5.76,6.19,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.5,0.46
เขื่อนแควน้อยบำรุงแดน,พิษณุโลก,939.0,896.0,430.83,387.83,14.16,1.3,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.46,0.41
เขื่อนลำปาว,กาฬสินธุ์,1980.0,1880.0,903.94,803.94,28.58,5.06,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.46,0.41
เขื่อนบางลาง,ยะลา,1454.36,1178.08,647.93,371.65,2.03,6.01,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.45,0.26
เขื่อนมูลบน,นครราชสีมา,141.0,134.0,59.01,52.01,0.1,0.52,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.42,0.37
เขื่อนน้ำพุง,สกลนคร,165.48,157.0,66.37,57.69,3.58,0.3,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.4,0.35
เขื่อนห้วยหลวง,อุดรธานี,135.57,128.98,50.32,43.73,4.15,0.47,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.37,0.32
เขื่อนปราณบุรี,ประจวบคีรีขันธ์,391.0,373.41,142.7,125.11,0.52,0.34,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.37,0.32
เขื่อนกระเสียว,สุพรรณบุรี,299.0,259.0,109.0,69.0,0.58,0.06,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.36,0.23
เขื่อนลำพระเพลิง,นครราชสีมา,155.0,153.6,49.4,48.0,0.28,0.48,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.32,0.31
เขื่อนป่าสักชลสิทธิ์,สระบุรี,960.0,957.0,285.46,282.46,10.84,1.3,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.3,0.29
เขื่อนอุบลรัตน์,ขอนแก่น,2431.32,1850.0,676.36,94.69,13.44,4.03,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.28,0.04
เขื่อนลำนางรอง,บุรีรัมย์,121.41,118.0,29.12,25.67,0.1,0.0,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.24,0.21
เขื่อนลำตะคอง,นครราชสีมา,314.49,291.79,71.0,48.3,0.87,0.09,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.23,0.15
เขื่อนคลองสียัด,ฉะเชิงเทรา,420.0,390.0,71.11,41.11,3.43,0.13,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.17,0.1
เขื่อนทับเสลา,อุทัยธานี,160.0,143.0,26.52,9.52,0.0,0.0,27/08/2025,แหล่งน้ำขนาดใหญ่,0.0,0.0,0.17,0.06
ห้วยกะเบา,มุกดาหาร,5.07,5.68,5.28,1.96,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,1.11,1.13,0.0
ห้วยแฮต,น่าน,5.0,5.48,4.94,2.87,2.23,0.0,แหล่งน้ำขนาดกลาง,0,0.0,1.1,1.11,0.0
ด่านชุมพล,ตราด,5.6,5.99,5.69,0.57,0.13,0.0,แหล่งน้ำขนาดกลาง,0,0.0,1.07,1.11,0.0
ห้วยศรีคุณ,มุกดาหาร,2.312,2.4,2.38,0.59,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,1.04,1.04,0.0
น้ำแหง,น่าน,13.0,13.48,10.61,4.0,3.88,0.0,แหล่งน้ำขนาดกลาง,0,0.0,1.04,1.05,0.0
ห้วยผักดอก,นครพนม,2.8,2.84,2.54,0.82,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,1.01,1.02,0.0
ทรายทอง,นครนายก,2.0,2.03,1.91,0.08,0.05,0.0,แหล่งน้ำขนาดกลาง,0,0.0,1.01,1.01,0.0
ห้วยนางออ,มุกดาหาร,3.3,3.33,2.88,0.82,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,1.01,1.01,0.0
แม่ทรายคำ,ลำปาง,1.248,1.26,1.12,0.54,0.12,0.0,แหล่งน้ำขนาดกลาง,0,0.0,1.01,1.01,0.0
แม่ต่ำ,ลำปาง,2.54,2.56,1.87,0.19,0.15,0.0,แหล่งน้ำขนาดกลาง,0,0.0,1.01,1.01,0.0
สันหนอง,เชียงใหม่,1.45,1.46,1.11,0.04,0.05,0.0,แหล่งน้ำขนาดกลาง,0,0.0,1.0,1.01,0.0
แม่ทรายคำ,ลำปาง,1.248,1.62,1.47,0.42,0.06,0.0,แหล่งน้ำขนาดกลาง,0,0.0,1.0,1.32,0.0
ห้วยแม่สัน,ลำปาง,3.525,3.53,3.49,1.08,0.06,0.0,แหล่งน้ำขนาดกลาง,0,0.0,1.0,1.0,0.0
แม่วะ,แพร่,5.9,5.91,4.96,1.65,0.37,0.0,แหล่งน้ำขนาดกลาง,0,0.0,1.0,1.0,0.0
น้ำพง,น่าน,1.31,1.49,1.12,0.86,0.72,0.0,แหล่งน้ำขนาดกลาง,0,0.0,1.0,1.19,0.0
แม่ค่อม,ลำปาง,1.356,1.36,1.2,0.34,0.02,0.0,แหล่งน้ำขนาดกลาง,0,0.0,1.0,1.0,0.0
แม่เฟือง,ลำปาง,1.132,1.13,0.95,0.57,0.07,0.0,แหล่งน้ำขนาดกลาง,0,0.0,1.0,1.0,0.0
คลองสวนหนัง,สุราษฎร์ธานี,1.29,1.29,1.27,0.04,0.02,0.0,แหล่งน้ำขนาดกลาง,0,0.0,1.0,1.0,0.0
วังปลาหมอ,ตราด,8.15,6.6,6.0,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,1.0,0.79,0.0
ห้วยตะแบง,ศรีสะเกษ,6.88,6.77,6.47,0.31,0.3,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.98,0.98,0.0
บ้านสันกำแพง,นครราชสีมา,6.4,6.26,5.5,0.22,0.14,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.98,0.97,0.0
แม่ออน,เชียงใหม่,4.53,4.36,3.56,0.07,0.1,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.96,0.96,0.0
ห้วยทา,ศรีสะเกษ,29.58,28.48,25.18,0.06,0.04,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.96,0.93,0.0
ห้วยซำ อ.โซ่พิสัย,บึงกาฬ,2.4,2.29,1.76,0.14,0.06,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.95,1.15,0.0
บ้านมะนาว,ตราด,2.35,2.24,2.17,0.02,0.04,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.95,1.35,0.0
ศาลทราย,จันทบุรี,10.0,9.43,8.43,0.74,0.66,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.94,0.94,0.0
ห้วยหวด อ.เต่างอย,สกลนคร,21.0,19.76,18.47,0.0,0.25,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.94,0.94,0.0
ห้วยน้ำฮิ,น่าน,6.0,5.64,5.24,0.15,0.16,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.94,0.94,0.0
ห้วยเดียก อ.เมือง,สกลนคร,4.0,3.74,3.5,0.26,0.28,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.94,0.93,0.0
ห้วยปรือ,นครนายก,8.86,8.21,8.09,0.08,0.02,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.93,0.93,0.0
ห้วยโดน,อุบลราชธานี,4.7,4.35,3.8,0.24,0.23,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.93,0.92,0.0
หนองสำโรง อ.เมือง,อุดรธานี,4.302,10.5,2.29,0.95,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.92,0.58,0.0
เขาระกำ,ตราด,47.69,43.85,41.54,0.29,0.04,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.92,0.89,0.0
คลองระโอก,ระยอง,19.65,17.97,17.48,0.17,0.08,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.91,0.9,0.0
กุดลิงง้อ อ.เมือง,อุดรธานี,6.44,5.88,5.65,0.03,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.91,0.9,0.0
คลองตรอน,อุตรดิตถ์,59.0,53.81,47.81,2.05,0.38,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.91,0.9,0.0
แม่ใจ,พะเยา,3.0,2.69,1.59,0.04,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.9,0.64,0.0
คลองหาดส้มแป้น,ระนอง,10.0,8.91,7.11,0.82,0.37,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.89,0.72,0.0
ห้วยหินกอง,อุบลราชธานี,8.0,7.1,5.4,0.28,0.22,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.89,0.86,0.0
ห้วยลึก,ตาก,5.8,5.15,5.05,0.02,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.89,0.89,0.0
คลองวังบอน,ปราจีนบุรี,7.56,6.71,6.43,0.16,0.04,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.88,0.87,0.0
ห้วยแคน,นครพนม,11.014,9.7,9.15,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.88,0.83,0.0
แม่คำปอง,แพร่,6.76,5.89,5.76,0.08,0.2,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.87,0.87,0.0
