0,1,2,3,4,5,6,8,9
ห้วยกะเบา,มุกดาหาร,5.07,5.68 (111%),5.28 (113%),1.96,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยแฮต,น่าน,5,5.48 (110%),4.94 (111%),2.87,2.23,27/08/2025,แหล่งน้ำขนาดกลาง
ด่านชุมพล,ตราด,5.6,5.99 (107%),5.69 (111%),0.57,0.13,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยศรีคุณ,มุกดาหาร,2.312,2.4 (104%),2.38 (104%),0.59,,27/08/2025,แหล่งน้ำขนาดกลาง
น้ำแหง,น่าน,13,13.48 (104%),10.61 (105%),4,3.88,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยผักดอก,นครพนม,2.8,2.84 (101%),2.54 (102%),0.82,,27/08/2025,แหล่งน้ำขนาดกลาง
ทรายทอง,นครนายก,2,2.03 (101%),1.91 (101%),0.08,0.05,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยนางออ,มุกดาหาร,3.3,3.33 (101%),2.88 (101%),0.82,,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ทรายคำ,ลำปาง,1.248,1.26 (101%),1.12 (101%),0.54,0.12,27/08/2025,แหล่งน้ำขนาดกลาง
สันหนอง,เชียงใหม่,1.45,1.46 (100%),1.11 (101%),0.04,0.05,27/08/2025,แหล่งน้ำขนาดกลาง
น้ำพง,น่าน,1.31,1.49 (100%),1.12 (119%),0.86,0.72,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ค่อม,ลำปาง,1.356,1.36 (100%),1.20 (100%),0.34,0.02,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ต่ำ,ลำปาง,2.54,2.54 (100%),1.85 (100%),0.17,0.15,27/08/2025,แหล่งน้ำขนาดกลาง
คลองสวนหนัง,สุราษฎร์ธานี,1.29,1.29 (100%),1.27 (100%),0.04,0.02,27/08/2025,แหล่งน้ำขนาดกลาง
วังปลาหมอ,ตราด,8.15,6.6 (100%),6.00 (79%),0,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยตะแบง,ศรีสะเกษ,6.88,6.77 (98%),6.47 (98%),0.31,0.3,27/08/2025,แหล่งน้ำขนาดกลาง
บ้านสันกำแพง,นครราชสีมา,6.4,6.26 (98%),5.50 (97%),0.22,0.14,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ออน,เชียงใหม่,4.53,4.36 (96%),3.56 (96%),0.07,0.1,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยทา,ศรีสะเกษ,29.58,28.48 (96%),25.18 (93%),0.06,0.04,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยซำ อ.โซ่พิสัย,บึงกาฬ,2.4,2.29 (95%),1.76 (115%),0.14,0.06,27/08/2025,แหล่งน้ำขนาดกลาง
บ้านมะนาว,ตราด,2.35,2.24 (95%),2.17 (135%),0.02,0.04,27/08/2025,แหล่งน้ำขนาดกลาง
ศาลทราย,จันทบุรี,10,9.43 (94%),8.43 (94%),0.74,0.66,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยหวด อ.เต่างอย,สกลนคร,21,19.76 (94%),18.47 (94%),0,0.25,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยน้ำฮิ,น่าน,6,5.64 (94%),5.24 (94%),0.15,0.16,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยเดียก อ.เมือง,สกลนคร,4,3.74 (94%),3.50 (93%),0.26,0.28,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยปรือ,นครนายก,8.86,8.21 (93%),8.09 (93%),0.08,0.02,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยโดน,อุบลราชธานี,4.7,4.35 (93%),3.80 (92%),0.24,0.23,27/08/2025,แหล่งน้ำขนาดกลาง
หนองสำโรง อ.เมือง,อุดรธานี,4.302,10.5 (92%),2.29 (58%),0.95,0.01,27/08/2025,แหล่งน้ำขนาดกลาง
เขาระกำ,ตราด,47.69,43.85 (92%),41.54 (89%),0.29,0.04,27/08/2025,แหล่งน้ำขนาดกลาง
คลองระโอก,ระยอง,19.65,17.97 (91%),17.48 (90%),0.17,0.08,27/08/2025,แหล่งน้ำขนาดกลาง
กุดลิงง้อ อ.เมือง,อุดรธานี,6.44,5.88 (91%),5.65 (90%),0.03,0.01,27/08/2025,แหล่งน้ำขนาดกลาง
คลองตรอน,อุตรดิตถ์,59,53.81 (91%),47.81 (90%),2.05,0.38,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ใจ,พะเยา,3,2.69 (90%),1.59 (64%),0.04,,27/08/2025,แหล่งน้ำขนาดกลาง
คลองหาดส้มแป้น,ระนอง,10,8.91 (89%),7.11 (72%),0.82,0.37,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยหินกอง,อุบลราชธานี,8,7.1 (89%),5.40 (86%),0.28,0.22,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยลึก,ตาก,5.8,5.15 (89%),5.05 (89%),0.02,0,27/08/2025,แหล่งน้ำขนาดกลาง
คลองวังบอน,ปราจีนบุรี,7.56,6.71 (88%),6.43 (87%),0.16,0.04,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยแคน,นครพนม,11.014,9.7 (88%),9.15 (83%),,,27/08/2025,แหล่งน้ำขนาดกลาง
แม่คำปอง,แพร่,6.76,5.89 (87%),5.76 (87%),0.08,0.2,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ถาง,แพร่,30.62,26.44 (86%),23.94 (85%),0.06,0.14,27/08/2025,แหล่งน้ำขนาดกลาง
ลำพันชาด อ.วังสามหมอ,กาฬสินธุ์,47,46.01 (86%),40.13 (98%),4.83,0.92,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยโทง อ.วานรนิวาส,สกลนคร,7.6,6.46 (85%),6.42 (85%),0.11,0.06,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยลึก,กระบี่,2.45,2.08 (85%),2.02 (85%),0.04,0.04,27/08/2025,แหล่งน้ำขนาดกลาง
คลองกลาง,ปราจีนบุรี,3.1,2.63 (85%),2.53 (84%),0.05,0.02,27/08/2025,แหล่งน้ำขนาดกลาง
ทับลาน,ปราจีนบุรี,2.725,2.31 (85%),1.81 (81%),0.05,0.05,27/08/2025,แหล่งน้ำขนาดกลาง
น้ำพรม,ชัยภูมิ,3.434,2.83 (85%),2.75 (82%),1.17,0.66,27/08/2025,แหล่งน้ำขนาดกลาง
ลำพันชาดน้อย อ.วังสามหมอ,อุดรธานี,1.9,1.61 (85%),1.47 (83%),0.23,0.22,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยละมืด,อุบลราชธานี,6.7,5.67 (85%),5.57 (112%),0.21,0.15,27/08/2025,แหล่งน้ำขนาดกลาง
คลองหยา,กระบี่,3.2,2.71 (85%),2.67 (84%),0.02,0.04,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ปืม,พะเยา,43,42.38 (84%),40.73 (99%),,,27/08/2025,แหล่งน้ำขนาดกลาง
คลองไม้ปล้อง,ปราจีนบุรี,11.335,9.45 (83%),9.34 (83%),0.02,0.07,27/08/2025,แหล่งน้ำขนาดกลาง
